source_center,destination_center,trip_volume,segment_count,avg_actual_time,avg_osrm_time,median_delay_ratio,mean_delay_ratio,avg_delay_minutes,avg_distance_km,dominant_route_type,pct_ftl,is_high_delay_corridor,avg_extra_minutes_per_trip,total_delay_impact_minutes,source_name,destination_name,corridor_label
IND784001AAA,IND791111AAC,3,15,56.46666666666667,23.533333333333335,2.230769230769231,2.366985602939391,32.93333333333333,33.55678666666667,FTL,1.0,1,32.93333333333334,98.80000000000001,Tezpur_Mhbhirab_D (Assam),Itanagar_WageDPP_D (Arunachal Pradesh),Tezpur_Mhbhirab_D (Assam) -> Itanagar_WageDPP_D (Arunachal Pradesh)
IND784101AAA,IND790114AAA,1,3,13.666666666666666,10.666666666666666,1.2777777777777777,1.502849002849003,3.0,11.820066666666667,Carting,0.0,1,3.0,3.0,Balipara_EragnDPP_D (Assam),Bhalukpong_Khenewa_D (Arunachal Pradesh),Balipara_EragnDPP_D (Assam) -> Bhalukpong_Khenewa_D (Arunachal Pradesh)
IND784110AAA,IND781018AAB,1,7,53.285714285714285,24.571428571428573,1.1764705882352942,2.1433805100987766,28.714285714285715,34.051585714285714,FTL,1.0,0,28.71428571428571,28.71428571428571,Dhekiajuli_Wardno5_D (Assam),Guwahati_Hub (Assam),Dhekiajuli_Wardno5_D (Assam) -> Guwahati_Hub (Assam)
IND784110AAA,IND784001AAA,2,4,35.5,12.5,2.975,3.3375000000000004,23.0,17.71975,FTL,1.0,1,23.0,46.0,Dhekiajuli_Wardno5_D (Assam),Tezpur_Mhbhirab_D (Assam),Dhekiajuli_Wardno5_D (Assam) -> Tezpur_Mhbhirab_D (Assam)
IND784125AAA,IND784110AAA,3,9,42.44444444444444,16.555555555555557,2.36,2.4337274054921116,25.88888888888889,23.98473333333333,FTL,1.0,1,25.888888888888886,77.66666666666666,Mangaldoi_LNBRoad_D (Assam),Dhekiajuli_Wardno5_D (Assam),Mangaldoi_LNBRoad_D (Assam) -> Dhekiajuli_Wardno5_D (Assam)
IND784168AAB,IND784176AAA,6,17,35.35294117647059,13.882352941176471,2.411764705882353,2.823451759444748,21.470588235294116,20.497917647058824,FTL,1.0,1,21.470588235294116,128.8235294117647,Gohpur_Central_D_1 (Assam),Bishwanath_ChrliDPP_D (Assam),Gohpur_Central_D_1 (Assam) -> Bishwanath_ChrliDPP_D (Assam)
IND784168AAB,IND791111AAC,2,4,42.75,12.5,2.8369565217391304,2.598478260869565,30.25,18.0233,FTL,1.0,1,30.25,60.5,Gohpur_Central_D_1 (Assam),Itanagar_WageDPP_D (Arunachal Pradesh),Gohpur_Central_D_1 (Assam) -> Itanagar_WageDPP_D (Arunachal Pradesh)
IND784176AAA,IND781018AAB,4,32,53.625,24.625,2.0782828282828283,2.340768162864692,29.0,33.687696875,FTL,1.0,1,29.0,116.0,Bishwanath_ChrliDPP_D (Assam),Guwahati_Hub (Assam),Bishwanath_ChrliDPP_D (Assam) -> Guwahati_Hub (Assam)
IND785001AAA,IND785112AAC,3,9,13.777777777777779,6.0,2.2,2.4574074074074073,7.777777777777778,8.954888888888888,Carting,0.0,1,7.777777777777779,23.333333333333336,Jorhat_RicMilRd_D (Assam),Teok_Wardno3_D (Assam),Jorhat_RicMilRd_D (Assam) -> Teok_Wardno3_D (Assam)
IND785001AAA,IND785682AAA,11,33,33.18181818181818,14.454545454545455,1.8235294117647058,3.80953273459987,18.727272727272727,20.46956666666667,FTL,1.0,1,18.727272727272727,206.0,Jorhat_RicMilRd_D (Assam),Sivasagar_Babupaty_D (Assam),Jorhat_RicMilRd_D (Assam) -> Sivasagar_Babupaty_D (Assam)
