facility_code,facility_name,in_degree,out_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,clustering_coefficient,outbound_segment_count,avg_outbound_delay_ratio,outbound_sla_breaches,inbound_segment_count,avg_inbound_delay_ratio,inbound_sla_breaches,total_segment_volume,total_sla_breaches,sla_breach_contribution_pct,norm_betweenness,norm_pagerank,norm_delay,norm_volume,structural_risk_score
IND506132AAA,Khanpur_Nrsampt_D (Telangana),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.0018231071439521022,0.13716309992439382,0.0034019884464210285,0.0008857478196738612,0.0,38.0,1.9323842728418141,38.0,40.0,1.4713597374847374,25.0,78.0,63.0,0.04870468724632976,0.00551713977541938,0.033705452182311565,0.03533975615498992,0.001998027920494058,0.01782491878207147
IND410209AAA,Mumbai_Khandeshwar_Dc (Maharashtra),1,0,0.0007396449704142012,0.0007396449704142012,0.0,0.0,0.13716306292739963,0.005215102760541267,0.0008855062485858614,0.0,0.0,0.0,0.0,80.0,2.256592712842713,68.0,80.0,68.0,0.05257013861508608,0.0,0.033694617664302415,0.0,0.0020499247495977995,0.008833639365995164
IND122001AAJ,Mahbubabad_Yellanda_D (Telangana),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.0018198222662152515,0.11761876932817103,0.0004061810686175185,0.0008849244491905092,0.0,26.0,0.872687531933468,2.0,38.0,1.9323842728418141,38.0,64.0,40.0,0.03092361095005064,0.005507198983031237,0.03366852382965171,0.015959850745770048,0.0016347501167678655,0.013863570773981442
IND209625AAA,Farrukhbad_Pnchlght_D (Uttar Pradesh),2,1,0.0022189349112426036,0.0014792899408284023,0.0007396449704142012,0.0036380020935620778,0.12630901122715893,0.0016588741686754506,0.0008840614678959138,0.3333333333333333,30.0,1.4332386746352264,22.0,23.0,1.5647104103625842,20.0,53.0,42.0,0.03246979149755317,0.011009427569868401,0.033629818923136316,0.026211300715577746,0.0013493175566972858,0.01777287803469302
IND241124AAB,Shahabad_KDRoad_D (Uttar Pradesh),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.003634717215825227,0.10955960113750095,0.00019805540718896735,0.0008839281325638309,0.0,4.0,2.1947916666666667,4.0,30.0,1.4332386746352264,22.0,34.0,26.0,0.020100347117532915,0.010999486777480258,0.03362383880329387,0.04013870501902666,0.000856297680211739,0.020454780612789242
IND507123AAA,Yellandu_Sudimala_D (Telangana),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.0018165373884784007,0.10294952164518888,4.849393972443295e-05,0.0008836330410524233,0.0,48.0,1.308337155073287,31.0,26.0,0.872687531933468,2.0,74.0,33.0,0.02551197903379178,0.005497258190643093,0.03361060388217328,0.023927081522355214,0.0018942342622865743,0.015490954494196761
IND741126AAB,Nakashipara_MaxDPP_D (West Bengal),2,1,0.0022189349112426036,0.0014792899408284023,0.0007396449704142012,0.001816537388478401,0.11848731057078093,0.0011108074907087034,0.000882868850340703,0.3333333333333333,60.0,2.9640873015873015,48.0,57.0,2.439877730100966,55.0,117.0,103.0,0.0796282981963804,0.005497258190643094,0.033576329755674476,0.05420770802804613,0.003010016088017022,0.021761667628856333
IND263401AAA,Kashipur_BajprDPP_D (Uttarakhand),3,2,0.0036982248520710057,0.0022189349112426036,0.0014792899408284023,0.0012088350071610336,0.11312350653009993,0.0003022405729701607,0.0008812397783653832,1.0,31.0,2.156952678265276,31.0,20.0,2.092231789949181,20.0,51.0,51.0,0.03942760396131457,0.003658211598836634,0.033503265508620136,0.03944669947848783,0.001297420727593544,0.01780501447796413
IND321401AAB,Bayana_LalBagh_D (Rajasthan),2,0,0.0014792899408284023,0.0014792899408284023,0.0,0.0,0.1249317235280924,0.001131307943479847,0.0008800814197433266,1.0,0.0,0.0,0.0,26.0,1.3464545174717097,26.0,26.0,26.0,0.020100347117532915,0.0,0.03345131286206941,0.0,0.000648710363796772,0.008492570288276708
IND221010AAB,Varanasi_MahmurGj_IP (Uttar Pradesh),2,3,0.0036982248520710057,0.0014792899408284023,0.0022189349112426036,0.004302642355651523,0.09899544096988734,2.3397094091110127e-05,0.0008792740348641001,0.1,14.0,16.127795663720033,12.0,8.0,2.136620016408323,6.0,22.0,18.0,0.013915624927522787,0.013020781229736007,0.0334151014673751,0.2949477358533782,0.0005449167055892885,0.07200957930904489
IND411021AAA,PNQ Pashan DPC (Maharashtra),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.0,0.1597281785357768,0.02400728034025209,0.0008765989994851891,0.0,57.0,3.9807952281636494,30.0,73.0,4.040673595810582,43.0,130.0,73.0,0.05643558998384242,0.0,0.033295125524774094,0.07280142704709694,0.0033473454771913436,0.023553535886051177
IND125005AAA,Hisar_IndstlAr_I (Haryana),4,5,0.006656804733727811,0.0029585798816568047,0.0036982248520710057,0.00823616612846812,0.17759292238754523,0.06424650655650871,0.0008746182404387423,0.14285714285714285,80.0,1.8048077575395052,74.0,43.0,1.9588270435961055,43.0,123.0,117.0,0.09045156202889812,0.024924525086237683,0.03320628803292767,0.033006616206972955,0.0031657065753282476,0.024259620344875346
IND175101AAA,Kullu_AkhraBzr_D (Himachal Pradesh),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.003624862582614675,0.09855641705774332,2.696750197273349e-05,0.0008731260004534642,0.0,32.0,2.1069136350401174,30.0,34.0,1.5316666152496017,33.0,66.0,63.0,0.04870468724632976,0.01096966440031583,0.033139360731617155,0.03853157736190928,0.0016866469458716071,0.02016786758457101
IND794101AAA,Tura_Sracmplx_D (Meghalaya),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.005428260460145673,0.06102645961805952,3.365117585671386e-10,0.0008718845870987362,0.0,72.0,2.541625812847974,72.0,4.0,2.0809525460555207,4.0,76.0,76.0,0.05875486080509621,0.01642715942140635,0.03308368306149543,0.046481663986626835,0.0019461310913903161,0.023705985578469507
IND175001AAA,Mandi_PlaceCol_D (Himachal Pradesh),1,1,0.0014792899408284023,0.0007396449704142012,0.0007396449704142012,0.003628147460351526,0.11191918138715834,0.0002252133569964129,0.0008689604862497312,0.0,34.0,1.5316666152496017,33.0,16.0,3.071472223757924,16.0,50.0,49.0,0.03788142341381203,0.010979605192703972,0.03295253647615098,0.02801136681476743,0.0012714723130416731,0.017937563762045958
